OBS;Ano;TRIMESTRE;MARCA;ORIGEM;OBJETIVO;LL;P1;P2;P3;INVESTIMENTO;LUCRO;ROI
143;2022;T1;Marca4;Origem1;Objetivo13;;;985551;;1978,713832;1133,291043;0,572741255
144;2022;T1;Marca4;Origem1;Objetivo4;10122377;;;;10903,93971;13465,53426;1,234923764
145;2022;T1;Marca4;Origem1;Objetivo6;48579378;103410;190789340;;162929,0132;275070,2034;1,68828251
146;2022;T1;Marca4;Origem1;Objetivo8;18458594;;65546289;;103727,0497;156301,8372;1,50685706
147;2022;T1;Marca4;Origem2;Objetivo13;;;1269875;;1691,010943;1611,212603;0,952810276
148;2022;T1;Marca4;Origem2;Objetivo4;1245126;;;;563,9410367;1157,591164;2,0526812
149;2022;T1;Marca4;Origem2;Objetivo6;61356937;838383;179219417;;125995,1314;303609,0438;2,409688696
150;2022;T1;Marca4;Origem2;Objetivo8;2067471;;6633172;;3045,243757;11110,35463;3,648428671
151;2022;T1;Marca4;Origem6;Objetivo8;;;6332736;;998,2715596;4775,534275;4,783802793
152;2022;T1;Marca5;Origem4;Objetivo2;2685110;;;2638708;7297,65334;14983,28512;2,053164822
153;2022;T1;Marca5;Origem4;Objetivo8;;;115145;;546,5229358;2291,282155;4,19247209
154;2022;T1;Marca5;Origem5;Objetivo2;;;15781066;3504372;31826,88043;35252,29939;1,107626601
155;2022;T1;Marca5;Origem5;Objetivo15;;;;53541,96;2701,067166;3493,346003;1,293320672
156;2022;T1;Marca5;Origem5;Objetivo8;;;83959205;;57064,85624;105453,1002;1,847951737
157;2022;T1;Marca5;Origem1;Objetivo16;;;1090083;;2075,216418;1040,915584;0,50159375
158;2022;T1;Marca5;Origem1;Objetivo4;2495652;4213591;10058525;;14397,66486;16144,43449;1,121323121
159;2022;T1;Marca5;Origem1;Objetivo5;661779;757376;852347;;6582,539494;2286,556422;0,347366913
160;2022;T1;Marca5;Origem1;Objetivo6;8331777;1806913;22651404;;20328,52336;30195,95473;1,485398334
161;2022;T1;Marca5;Origem2;Objetivo4;5362;860126;108741;;413,1280609;626,7398431;1,517059485
162;2022;T1;Marca5;Origem2;Objetivo5;;560157;702890;;3874,307522;1030,356773;0,265946048
163;2022;T1;Marca5;Origem2;Objetivo6;11114681;3419661;34103212;;24516,52516;35002,54326;1,427712249
164;2022;T1;Marca5;Origem3;Objetivo2;;;1736240;;1548,776674;2422,093609;1,563875315
165;2022;T1;Marca5;Origem3;Objetivo7;;;10860520;;20994,77907;33019,04344;1,572726406
166;2022;T1;Marca5;Origem3;Objetivo6;;;1026553;;1079,969104;1719,190817;1,591888889
167;2022;T1;Marca5;Origem3;Objetivo9;;;1060578;;1202,229053;2491,370445;2,072292662
168;2022;T1;Marca5;Origem3;Objetivo8;;;806993;;442,5964644;3106,974858;7,019881785
170;2022;T1;Marca5;Origem6;Objetivo6;;;313798;;422,8899083;522,1808525;1,234791472
171;2022;T1;Marca5;Origem6;Objetivo8;;;207225549;;198947,3948;343239,9994;1,725280192
172;2022;T1;Marca6;Origem4;Objetivo3;;;;3569702;12435,89658;25652,11132;2,062747239
173;2022;T1;Marca6;Origem5;Objetivo2;;;61127;;168,4220183;1232,620372;7,318641496
174;2022;T1;Marca6;Origem5;Objetivo3;;55539410;;11047678;118331,5409;199873,9633;1,689101331
175;2022;T1;Marca6;Origem5;Objetivo6;;;6483232;;7634,146789;29752,26346;3,897261119
176;2022;T1;Marca6;Origem5;Objetivo8;;;285893;;618,3266055;4522,255498;7,313700329
177;2022;T1;Marca6;Origem1;Objetivo3;49939135;;105417924;;108931,8444;321465,3619;2,951068749
178;2022;T1;Marca6;Origem1;Objetivo4;;;483190;;572,8055046;954,9892783;1,667213863
179;2022;T1;Marca6;Origem1;Objetivo6;2935866;;27291796;;20577,69181;58505,64379;2,843158714
180;2022;T1;Marca6;Origem2;Objetivo3;42609339;;112843077;;69891,97388;218213,512;3,122154089
181;2022;T1;Marca6;Origem2;Objetivo4;;;190;;0,106422018;0,15005417;1,409991773
182;2022;T1;Marca6;Origem2;Objetivo6;6383241;;34103815;;22688,80178;56241,13368;2,47880581
183;2022;T1;Marca6;Origem2;Objetivo8;153434;;752361;;1094,174312;2479,862177;2,26642332
184;2022;T1;Marca6;Origem7;Objetivo3;;;;7725913;18466,76261;16479,2865;0,892375499
185;2022;T1;Marca6;Origem3;Objetivo6;;16375741;48231815;;90795,73862;89091,52508;0,981230248
186;2022;T1;Marca6;Origem6;Objetivo2;;;15674548;;31188,32376;60126,80198;1,927862569
187;2022;T1;Marca6;Origem6;Objetivo6;;;1464387;;1959,579817;7906,912088;4,035003842
188;2022;T1;Marca6;Origem6;Objetivo8;;;3541249;;6144,186926;18987,95354;3,090393208
