date,unity,n
2020-03-18,ent,73.0
2020-03-18,evo,129.0
2020-03-18,int,129.0
2020-03-18,pri,137.0
2020-03-18,sai,36.0
2020-03-19,ent,83.0
2020-03-19,evo,145.0
2020-03-19,int,145.0
2020-03-19,pri,164.0
2020-03-19,sai,40.0
2020-03-20,ent,124.0
2020-03-20,evo,266.0
2020-03-20,int,256.0
2020-03-20,pri,279.0
2020-03-20,sai,71.0
2020-03-21,ent,69.0
2020-03-21,evo,144.0
2020-03-21,int,142.0
2020-03-21,pri,151.0
2020-03-21,sai,40.0
2020-03-22,ent,66.0
2020-03-22,evo,163.0
2020-03-22,int,161.0
2020-03-22,pri,170.0
2020-03-22,sai,38.0
2020-03-23,ent,213.0
2020-03-23,evo,436.0
2020-03-23,int,419.0
2020-03-23,pri,457.0
2020-03-23,sai,104.0
2020-03-24,ent,170.0
2020-03-24,evo,411.0
2020-03-24,int,393.0
2020-03-24,pri,438.0
2020-03-24,sai,102.0
2020-03-25,ent,226.0
2020-03-25,evo,445.0
2020-03-25,int,439.0
2020-03-25,pri,462.0
2020-03-25,sai,129.0
2020-03-26,ent,233.0
2020-03-26,evo,555.0
2020-03-26,int,571.0
2020-03-26,pri,596.0
2020-03-26,sai,118.0
2020-03-27,ent,270.0
2020-03-27,evo,646.0
2020-03-27,int,648.0
2020-03-27,pri,683.0
2020-03-27,sai,139.0
2020-03-28,ent,157.0
2020-03-28,evo,399.0
2020-03-28,int,393.0
2020-03-28,pri,423.0
2020-03-28,sai,89.0
2020-03-29,ent,129.0
2020-03-29,evo,392.0
2020-03-29,int,377.0
2020-03-29,pri,405.0
2020-03-29,sai,71.0
2020-03-30,ent,405.0
2020-03-30,evo,1000.0
2020-03-30,int,1000.0
2020-03-30,pri,1070.0
2020-03-30,sai,238.0
2020-03-31,ent,344.0
2020-03-31,evo,794.0
2020-03-31,int,835.0
2020-03-31,pri,878.0
2020-03-31,sai,180.0
2020-04-01,ent,0.0
2020-04-01,evo,0.0
2020-04-01,int,0.0
2020-04-01,pri,0.0
2020-04-01,sai,0.0
2020-04-02,ent,0.0
2020-04-02,evo,0.0
2020-04-02,int,0.0
2020-04-02,pri,0.0
2020-04-02,sai,0.0
2020-04-03,ent,1.0
2020-04-03,evo,2.0
2020-04-03,int,2.0
2020-04-03,pri,2.0
2020-04-03,sai,1.0
2020-04-04,ent,183.0
2020-04-04,evo,521.0
2020-04-04,int,523.0
2020-04-04,pri,564.0
2020-04-04,sai,105.0
2020-04-05,ent,958.0
2020-04-05,evo,3032.0
2020-04-05,int,3134.0
2020-04-05,pri,3445.0
2020-04-05,sai,431.0
2020-04-06,ent,897.0
2020-04-06,evo,2509.0
2020-04-06,int,2549.0
2020-04-06,pri,2904.0
2020-04-06,sai,506.0
2020-04-07,ent,638.0
2020-04-07,evo,1817.0
2020-04-07,int,1892.0
2020-04-07,pri,2115.0
2020-04-07,sai,379.0
2020-04-08,ent,1005.0
2020-04-08,evo,2820.0
2020-04-08,int,2936.0
2020-04-08,pri,3106.0
2020-04-08,sai,609.0
2020-04-09,ent,814.0
2020-04-09,evo,2170.0
2020-04-09,int,2293.0
2020-04-09,pri,2399.0
2020-04-09,sai,507.0
2020-04-10,ent,296.0
2020-04-10,evo,844.0
2020-04-10,int,896.0
2020-04-10,pri,935.0
