DATA;MARCA;ORIGEM;LL;P1;P2;P3;ROI
2022T1;Marca5;Origem3;0;0;10860520;0;1,572726406
2022T1;Marca5;Origem3;0;0;1026553;0;1,591888889
2022T1;Marca5;Origem3;0;0;1060578;0;2,072292662
2022T1;Marca5;Origem3;0;0;806993;0;7,019881785
2022T1;Marca5;Origem6;0;0;5;0;#DIV/0!
2022T1;Marca5;Origem6;0;0;313798;0;1,234791472
2022T1;Marca5;Origem6;0;0;207225549;0;1,725280192
2022T1;Marca6;Origem4;0;0;0;3569702;2,062747239
2022T1;Marca6;Origem5;0;0;61127;0;7,318641496
2022T1;Marca6;Origem5;0;55539410;0;11047678;1,689101331
2022T1;Marca6;Origem5;0;0;6483232;0;3,897261119
2022T1;Marca6;Origem5;0;0;285893;0;7,313700329
2022T1;Marca6;Origem1;49939135;0;105417924;0;2,951068749
2022T1;Marca6;Origem1;0;0;483190;0;1,667213863
2022T1;Marca6;Origem1;2935866;0;27291796;0;2,843158714
2022T1;Marca6;Origem2;42609339;0;112843077;0;3,122154089
2022T1;Marca6;Origem2;0;0;190;0;1,409991773
2022T1;Marca6;Origem2;6383241;0;34103815;0;2,47880581
2022T1;Marca6;Origem2;153434;0;752361;0;2,26642332
2022T1;Marca6;Origem7;0;0;0;7725913;0
2022T1;Marca6;Origem3;0;16375741;48231815;0;0
2022T1;Marca6;Origem6;0;0;15674548;0;1,927862569
2022T1;Marca6;Origem6;0;0;1464387;0;4,035003842
2022T1;Marca6;Origem6;0;0;3541249;0;3,090393208
